"","sigma","sigma.std","sigma.low","sigma.high"
"January",0.956250003903595,0.239061717639654,0.487689037329872,1.42481097047732
"March",1.21375000954468,0.303436886855598,0.619013711307708,1.80848630778165
"May",1.18666667624156,0.306395368030568,0.586131754901651,1.78720159758148
"June",1.54588237748365,0.374931083977786,0.811017452887191,2.28074730208011
"July",1.20625000972382,0.301561883074114,0.615188718898557,1.79731130054908
"August",0.886666666703388,0.22893547532351,0.437953135069309,1.33538019833747
"September",1.45333335939455,0.375248533597581,0.71784623354329,2.18882048524581
"October",0.883333337976098,0.228074811427759,0.43630670757769,1.33035996837451
"November",1.43882353549949,0.348965461250697,0.754851231448124,2.12279583955085
"December",1.87375001297131,0.468437106085759,0.955613285043223,2.7918867408994
