"","sigma","shape","sigma.std","shape.std","sigma.low","sigma.high","shape.low","shape.high"
"January",1.27459911966779,-0.339736015254618,0.409102803485711,0.21847694495418,0.472757624835792,2.07644061449978,-0.76795082736481,0.0884787968555745
"February",3.91637122743794,-1.03022533840029,2.00001724929715e-06,2.00001720064677e-06,3.91636730740414,3.91637514747175,-1.030229258434,-1.03022141836657
"March",1.61488207184704,-0.342589723028612,0.51153402556899,0.212540120235033,0.612275381731817,2.61748876196226,-0.759168358689276,0.073988912632052
"April",2.14497894577414,-1.07211644034034,2.00000807327194e-06,2.00000797384434e-06,2.14497502575832,2.14498286578997,-1.07212036035597,-1.07211252032471
"May",1.3893670522642,-0.169200961176664,0.505114246309617,0.259632087794338,0.399343129497347,2.37939097503105,-0.678079853253566,0.339677930900239
"June",2.47013976646372,-0.536060792270609,0.867088572712226,0.285135295830498,0.77064616394776,4.16963336897968,-1.09492597209839,0.0228043875571673
"July",1.16766608906892,0.0322203247840032,0.492420607620065,0.339714914826327,0.202521698133594,2.13281048000425,-0.633620908275597,0.698061557843603
"August",1.20945942416593,-0.370582116788881,0.403608375213194,0.232057583420358,0.418387008748067,2.00053183958379,-0.825414980292784,0.0842507467150215
"September",1.83109492777524,-0.254851872818214,0.654355058776146,0.255666086739186,0.548559012573993,3.11363084297648,-0.755957402827019,0.246253657190592
"October",1.4205617349305,-0.513255759087532,0.735857596476648,0.468201441665917,-0.0217191541637325,2.86284262402473,-1.43093058475273,0.404419066577666
"November",1.95254105044166,-0.359850994065984,0.622240949300638,0.224392354931381,0.732948789812415,3.17213331107091,-0.799660009731491,0.0799580215995226
"December",2.19626519556867,-0.166500440770188,0.871800317101584,0.311123746955056,0.487536574049567,3.90499381708778,-0.776302984802097,0.44330210326172
