"","r10","r20","r50","r100","r200","r1000","max_obs"
"January",14.3822363312234,15.0450583253396,15.9212613412711,16.5840833353873,17.2469053295035,18.7859303395512,17.3
"February",14.9794047572262,15.5252853809755,16.098092941717,16.4411948073008,16.7221043916109,17.1934304014033,20.6
"March",21.23,22.0713073970205,23.1834552815785,24.024762678599,24.8660700756195,26.8195253571979,24.9
"April",14.9794047572262,15.5252853809755,16.098092941717,16.4411948073008,16.7221043916109,17.1934304014033,20.6
"May",29.6687701272114,30.4913047881127,31.5786364653767,32.401171126278,33.2237057871793,35.1335721253446,33.8
"June",32.4061491696488,33.4776731810789,34.8941508761347,35.9656748875648,37.0371988989949,39.5252006054809,36.5
"July",35.1924843993027,36.0285931925932,37.1338688968262,37.9699776901167,38.8060864834072,40.7474709809307,39.7
"August",34.9539290314795,35.5685195316015,36.3809639805635,36.9955544806855,37.6101449808074,39.0371799298914,37.6
"September",30.1297213296201,31.1370952500982,32.4687711376349,33.476145058113,34.483518978591,36.8225687866058,34.8
"October",25.0384139424917,25.6506939552044,26.4600841059474,27.0723641186601,27.6846441313729,29.1063142948286,27.3
"November",18.9456177129634,19.9429341899182,21.2613148602988,22.2586313372535,23.2559478142083,25.5716449615436,23.2
"December",14.7317476874656,16.0305322260308,17.7474319967655,19.0462165353307,20.3450010738959,23.3606853831958,20.8
