"","January","February","March","April","May","June","July","August","September","October","November","December"
"1",4.44120692945532e-07,2.28128955165937e-06,2.84468602996915e-07,0.0130304538858339,7.16594903796007e-15,3.85280534139109e-08,1.12249199232416e-08,3.33462763353053e-14,3.13749096962531e-08,8.17002095317627e-05,0.000143535859635134,1.97949133028763e-07
"2",3.55892903737599e-05,7.04964520256957e-05,3.16771215810187e-07,0.0394802789074206,8.88213887698188e-08,9.16988360528162e-07,2.40947200061669e-06,0.0028664350258237,4.57419229439241e-08,1.53264091708185e-19,0.000709980860592495,2.70977322834629e-07
"3",0.00135525712377621,6.30290444631457e-05,0.000165532781592061,5.68288323820665e-08,2.70094293768681e-05,1.30985418609752e-06,8.06461082214805e-05,0.0691136992516045,4.09098568893144e-05,0.000362918840119817,0.134247848112302,0.00014687641001867
"4",0.010712672658879,0.0013244812632833,0.000216580758412615,0.0312721584892329,0.00345207996849597,0.00826462406172669,0.00778109089992902,0.0365816521668416,2.22644480455722e-05,0.127798607290414,0.241672123414735,0.000427032888088552
"5",9.83168075172134e-11,1.1083122109193e-11,0.00157318077884875,0.0708640305107178,4.51519754316293e-11,0.0421665227037068,5.58572934721733e-10,0.280205775041954,5.6411149807098e-05,0.171895956521273,0.306143630800196,0.00034472883179216
"6",0.134468868318063,0.0842111081052493,0.00372918254755995,0.0600642813206973,2.86550875040931e-11,0.132495057298639,0.0448920262172234,0.247884047445078,0.0184659328694782,0.100049157707273,0.0343895619946718,0.000197470174878494
"7",0.0534076628661394,0.43719217179443,0.0730553320273493,0.0450695240683133,0.00349737475505355,0.106472358918182,0.145398595420071,0.279281881535467,0.0546275659232349,0.262529175865664,0.195191115965274,0.000832472980159973
"8",0.067512632541405,0.0435772801786653,0.0998893346422103,0.0272660356244119,0.0185647450663023,0.152888491122628,0.288888749476584,0.367919108295887,0.0265647695221486,0.275882608030833,0.0064164283274514,1.44903836827972e-08
"9",0.0336706341059526,0.27002929272462,0.338093925304557,0.0940498876616651,0.0245690321785096,0.0971752029431844,0.224468428242336,0.477803801594405,0.0261188152411636,0.0963395646568445,0.129457643994956,0.0161606404712078
"10",0.0042179400300367,0.431700626037108,0.0798303327116121,0.184017932126694,0.00465024120635904,0.0898063034573859,0.0835010744783307,0.423425115463834,0.00281415721593211,0.120183768284913,0.0131450873531273,0.152871526524811
"11",0.00125860381858974,0.301423280306075,0.019683422179243,0.200367680416245,0.179542831839265,0.0979938199944689,0.0976432024199621,0.109001151629235,9.80903612115075e-05,0.0265833228336025,0.137843200815991,0.259145951051614
"12",0.0351124574669996,0.0960013875134956,0.357477526451998,0.491686072403253,0.136175991886092,0.0456400899739264,0.28177311610453,0.157046638806007,0.0368862008960891,0.00810804627136515,0.21563203267189,0.124011626212878
"13",0.144195330987975,0.197011355829155,0.213805694999945,0.146914784714956,0.127758174930457,0.0892230581513336,0.0977170146681236,0.237624965336014,0.0684658569711924,0.0326566437714577,0.251718550634632,0.113053608922116
"14",0.226810521689225,0.346416321026137,0.459492087524105,0.275830807848592,0.00740947438009972,0.0488170187021044,0.3386400881216,0.162179040187819,0.0379368485466415,0.167288057271686,0.580641879809697,0.213862506387757
"15",0.313902613484032,0.546686701517777,0.241573961864975,0.0843123628328234,0.0597734045484546,0.215192651312148,0.396113251420247,0.006009936361947,0.0699903312616487,0.226036375571317,0.619170826637725,0.204903709275569
"16",0.396825166384102,0.067743387553023,0.323120176712155,0.0334213606888223,0.0805472669571059,0.104540652964334,0.377377667450929,0.244541388796342,0.0395427564970213,0.461799578726876,0.274884462670038,0.187705810717634
"17",0.444426224188811,0.564543528530502,0.0488633550589231,0.103710312090733,0.439916567481773,0.00561134805273188,0.362330167984109,0.333489632628145,0.492925706607794,0.182772416296635,0.452885083341283,0.100355582027085
"18",0.461449830072296,0.224896364877742,0.81898528979961,0.858252988994865,0.144839947609657,0.533818219440916,0.27525981063235,0.299571468809628,0.585878378004032,0.298341380623355,0.255972379146277,0.0413699678006263
"19",0.533086061960756,0.622957917400145,0.576620220483009,0.715825952321328,0.716909377657131,0.415166395165102,0.47556036679057,0.134433398970511,0.0998096135538077,0.0515086047115623,0.0671633535120631,0.118025901137222
"20",0.715522059817528,0.350787285342532,0.410896464886226,0.43010058219937,0.719506429682134,0.594251110896768,0.287442785350027,0.578845238384393,0.421624267313529,0.14124665263714,0.0724223384798578,0.00438577226172916
"21",0.0372558899433809,0.0346605182441146,0.583769058575962,0.354689980109908,0.543618524019838,0.413291952337095,0.884811562892622,0.792702243101449,0.457834662576914,0.195673337711348,0.213127982915006,0.551545914424269
